,correct,incorrect
0,Albert,Ab
1,America,Ameraca
2,America,Amercia
3,American,Ameracan
4,April,Apirl
5,Austrian,Austrain
6,Badcock's,badcock
7,Bechuanaland,bechuarnia_land
8,Botswana,botuania
9,Cambridge,Cambrige
10,Canada,Canda
11,Chautauqua,Chactuquoe
12,Chautauqua,Chalktwa
13,Chautauqua,Chaqua
14,Chautauqua,Chata
15,Chautauqua,Chatacqua
16,Chautauqua,Chatacque
17,Chautauqua,Chatalkwa
18,Chautauqua,Chataqua
19,Chautauqua,Chataque
20,Chautauqua,Chataukowa
21,Chautauqua,Chataukwa
22,Chautauqua,Chatauwkwa
23,Chautauqua,Chateau
24,Chautauqua,Chatocqua
25,Chautauqua,Chatogua
26,Chautauqua,Chatoukouv
27,Chautauqua,Chattakqua
28,Chautauqua,Chatuaca
29,Chautauqua,Chatwakwa
30,Chautauqua,Chauetouequa
31,Chautauqua,Chauta
32,Chautauqua,Chautakye
33,Chautauqua,Chautaqua
34,Chautauqua,Chautauchua
35,Chautauqua,Chautiqua
36,Chautauqua,Chautogqwa
37,Chautauqua,Chautqua
38,Chautauqua,Chawtakque
39,Chautauqua,Chawtawque
40,Chautauqua,Cheautauqua
41,Chautauqua,Chetdacowa
42,Chautauqua,Chetoquoi
43,Chautauqua,Chicahwa
44,Chautauqua,Chictocua
45,Chautauqua,Chicugta
46,Chautauqua,Chistupa
47,Chautauqua,Chitacque
48,Chautauqua,Chitalka
49,Chautauqua,Chitalkwa
50,Chautauqua,Chitaqua
51,Chautauqua,Chitauqua
52,Chautauqua,Chitoqua
53,Chautauqua,Chittiqua
54,Chautauqua,Chochatta
55,Chautauqua,Chottago
56,Chautauqua,Chouativa
57,Chautauqua,Chtacu
58,Chautauqua,Chuatackqua
59,Chautauqua,Chuatuaque
60,Chautauqua,Chuatuaton
61,Chautauqua,Chutaciqwa
62,Chautauqua,Chutouko
63,Chautauqua,Cuhtawa
64,Chautauqua,Quatauqua
65,Chautauqua,Schtaka
66,Chautauqua,Shatacua
67,Chautauqua,Shatakiwa
68,Chautauqua,Shataqua
69,Chautauqua,Shautalkwa
70,Chautauqua,Shawtachwa
71,Chautauqua,Shawtapwa
72,Chautauqua,Shawtowa
73,Chautauqua,Sheto
74,Chautauqua,Shitaka
75,Chautauqua,Showtalkaw
76,Chautauqua,Showtalkwa
77,Chautauqua,Showtucwa
78,Chautauqua,catauqua
79,Chautauqua,chacactur
80,Chautauqua,chatacuia
81,Chautauqua,chataqua
82,Chautauqua,chataque
83,Chautauqua,chatauchuia
84,Chautauqua,chatauqua
85,Chautauqua,chautaucua
86,Chautauqua,chautauqua
87,Chautauqua,chetickway
